ФЕРМА,https://ferma.cc,ferma.cc/valuta.xml,https://ferma.cc/valuta.json,
КАССА,https://kassa.cc,https://kassa.cc/valuta.xml,,
Алфа кеш,https://www.alfa.cash,https://www.alfa.cash/api/rates,,https://www.alfa.cash/api/rates/txt
Onemoment,https://onemoment.cc,https://onemoment.cc/valuta.xml,,
Coinstart,coinstart.cc,https://onemoment.cc/valuta.xml,coinstart.cc/valuta.json,
newline.online,https://newline.online,https://newline.online/exportxml.xml,,
Pocket Exchange,https://pocket-exchange.com,https://pocket-exchange.com/valuta.xml,https://pocket-exchange.com/valuta.json,
Fastchange,https://xml.fastchange.me,https://xml.fastchange.me/valuta.xml,https://xml.fastchange.me/valuta.json,
Сова,https://sova.gg,https://sova.gg/valuta.xml,https://sova.gg/valuta.json,
Крипта,https://cripta.cc,https://cripta.cc/valuta.xml,,
Payget,https://xml.payget.pro,https://xml.payget.pro/valuta.xml,,
1 Обмен,https://1-online.ru,https://1-online.ru/exportxml.xml,,
Обмен монет,https://obmenmonet.com,https://obmenmonet.com/exportxml.xml,,
Paymarket,https://paymarket.cc,https://paymarket.cc/valuta.xml,https://paymarket.cc/valuta.xml,
Unicash,https://unicash.pro,https://unicash.pro/request-exportxml.xml?lang=ru,,
ARM,https://idram.armchange.ru,https://idram.armchange.ru/exportxml.xml,,https://idram.armchange.ru/exporttxt.txt
Paywallet,https://paywallet.cc,https://paywallet.cc/rates/export.xml,,
Coincat,https://coincat.in,https://coincat.in/monitoring-export/estandarts.xml,,
eurobit,https://xml.eurobit.cc,https://xml.eurobit.cc/valuta.xml,https://xml.eurobit.cc/valuta.json,
Bixter,https://xml.bixter.org,https://xml.bixter.org/valuta.xml,https://xml.bixter.org/valuta.json,
Биток,https://bitok.me,https://bitok.me/public/rates.xml,,
VIP,https://vipchanger.com,https://vipchanger.com/res/xml/exprates.xml,,
