40;78;346;1.2121212121212;1;14757;0.0;1
41;140;219;235.9873;1;17.13;0.0;1
6;53;656;1.0741138571429;1;5790855.72;0.0;1
108;139;473;574.791363;1;93.65;0.0;1
179;89;425;1;1.1554;300000;0.0;1
149;6;539;1;7180.87071;5401118.61;0.0;1
178;89;425;1;10.491;300000;0.0;1
76;1;433;1.0990223113562;1;2245.39;0.0;1
59;49;271;1.1;1;13062.95;0.0;1
163;118;524;1;24.357874;1640510.22;0.0;1
162;129;622;1;183.9403;9699.03;0.0;1
120;130;219;1;70.5453;157843.01;0.0;1
40;67;346;1.2121212121212;1;14741;0.0;1
162;156;219;1;191.703348;65.13;0.0;1
149;105;539;1;7180.87071;6798651.72;0.0;1
140;146;524;1;204.8;102768.89;0.0;1
75;2;531;6.1;1;36575.96;0.0;1
93;78;346;1;6438.91865897;12853;0.0;1
104;160;633;19.1108;1;998.15;0.0;1
163;68;524;1;24.357874;1599353.47;0.0;1
140;145;524;1;204.8;25960.9;0.0;1
52;139;219;34564.7812;1;9.39;0.0;1
156;93;219;6992.067;1;19.49;0.0;1
51;172;544;56722.2429;1;78.84;0.0;1
6;56;656;2.6;1;123427.04;0.0;1
178;89;425;1;10.491;300000;0.0;1
63;60;196;2.57258;1;39884.75;0.0;1
149;42;539;1;7180.87071;6674226.81;0.0;1
120;71;219;1;63.0075;50949.83;0.0;1
6;88;433;70;1;115332.69;0.0;1
60;104;657;27.22353222;1;3675.62;0.0;1
131;160;633;15.9956;1;998.15;0.0;1
131;93;219;6057.1857;1;19.49;0.0;1
140;160;219;1;15.0867;162.48;0.0;1
163;112;524;1;56.695;5461836.35;0.0;1
149;64;539;1;7180.87071;5675967.66;0.0;1
93;67;346;1;6422.91865897;12842;0.0;1
40;119;219;1.1774;1;743.39;0.0;1
177;89;425;1;37.83;300000;0.0;1
149;86;539;1;112.6632;86949;0.0;1
163;62;524;1;59.7975;15417734.02;0.0;1
149;89;539;1;113.76534;474323.15;0.0;1
122;64;79;1;66.202;1307961.37;0.0;1
52;172;544;57196.3581;1;78.84;0.0;1
105;104;271;65;1;2990.34;0.0;1
115;172;544;317452.5301;1;78.84;0.0;1
130;160;633;1156.7958;1;998.15;0.0;1
120;131;219;1.0101;1;2.74;0.0;1
63;56;604;2.5182;1;8038.28;0.0;1
177;89;425;1;37.83;300000;0.0;1
174;89;425;1;35.162;300000;0.0;1
59;112;271;1.3;1;168418.32;0.0;1
149;89;539;1;113.76534;474323.15;0.0;1
163;129;524;1.02040816;1;2693.57;0.0;1
149;91;539;1;7180.87071;49788353.85;0.0;1
156;144;273;1;57.98845455;576.77;0.0;1
163;91;466;1;57.94318182;6059478;0.0;1
163;91;466;1;57.94318182;6059478;0.0;1
139;119;219;1;458.1835;743.39;0.0;1
156;87;273;1.0363;1;71.27;0.0;1
140;52;524;1;16200;3558718.98;0.0;1
162;108;219;1;191.7454;215.45;0.0;1
163;53;524;1;60.05;5624070.73;0.0;1
149;91;539;1;7180.87071;49788353.85;0.0;1
117;44;293;70.87477778;1;39.33;0.0;1
88;130;621;1;56.13282;51156.89;0.0;1
117;79;526;1.03432697;1;101484.13;0.0;1
162;112;219;1;11985.9391;19111.12;0.0;1
40;93;219;7011.8909;1;19.49;0.0;1
181;78;239;6.75406426;1;29800;0.0;1
41;109;273;1;1.11326923;32.62;0.0;1
107;181;473;11.29178;1;313875;0.0;1
110;59;656;1;53.55;9268682.64;0.0;1
121;102;524;2.72695789;1;994667.58;0.0;1
88;129;621;1.05263158;1;2454.02;0.0;1
40;174;89;37.84382176;1;80.02;0.0;1
108;133;473;3.908235;1;14245;0.0;1
108;139;219;568.236605;1;9.39;0.0;1
140;88;524;1;261.7174;1381483.8;0.0;1
162;130;622;1;10977.4354;470424.89;0.0;1
129;160;633;18.6183;1;998.15;0.0;1
120;108;219;1;1.154806;215.45;0.0;1
162;93;622;36.0747;1;40.07;0.0;1
88;104;621;1.11111111;1;11630.89;0.0;1
82;88;239;2;1;300;0.0;1
64;93;219;440771.3167;1;19.49;0.0;1
174;89;425;1;35.162;300000;0.0;1
104;51;271;1;58;96825.44;0.0;1
104;63;271;1;59;207953.03;0.0;1
172;105;526;1;54862.4479;727803.27;0.0;1
149;59;539;1;7180.87071;6424513.4;0.0;1
93;120;440;1;5697.78640777;2256.28;0.0;1
162;89;425;1;192.22;300000;0.0;1
105;109;271;64.2;1;258.54;0.0;1
104;42;271;1;57;230741.58;0.0;1
41;122;273;1.037;1;49.1;0.0;1
162;82;622;1;192.2012;20207.98;0.0;1
56;41;546;31.0027;1;68.95;0.0;1
139;122;618;1;429.654;336.23;0.0;1
149;71;539;1;7180.87071;5834655.5;0.0;1
167;1;688;33.8386;1;569.36;0.0;1
163;157;524;1;60.05;3854458.77;0.0;1
41;104;219;1;1.1548;6215.63;0.0;1
141;56;519;1;28.8041182;777288.24;0.0;1
104;52;271;1;58;135563.49;0.0;1
64;129;622;67.4126;1;9699.03;0.0;1
139;103;441;1;157650.4069;250070;0.0;1
120;160;633;15.043;1;998.15;0.0;1
173;167;609;1;6.11025;111200.72;0.0;1
121;160;633;1105.8229;1;998.15;0.0;1
139;89;659;1;494.00035;147550;0.0;1
141;162;519;177.99250794;1;1151.44;0.0;1
63;139;219;34864.047613821;1;9.39;0.0;1
139;111;441;1;157650.4069;250070;0.0;1
139;91;659;1;31484.00047;6826509.7;0.0;1
139;114;441;1;157650.4069;458000;0.0;1
88;160;633;17.3223;1;998.15;0.0;1
6;139;387;34246.99159;1;10.04;0.0;1
130;121;219;1.0258;1;8170.97;0.0;1
122;121;219;1;67.4242;8170.97;0.0;1
6;1;697;64.43714157;1;392;0.0;1
141;104;519;1;1.16028;59762.63;0.0;1
139;75;441;1;157650.4069;1395390.15;0.0;1
172;140;544;1;3.2899;140.67;0.0;1
82;53;622;1;59.0614;2547064.79;0.0;1
51;129;622;65.8751;1;9699.03;0.0;1
88;71;219;1;59.23645;50949.83;0.0;1
42;88;654;64.1876;1;229.47;0.0;1
6;160;633;1161.3014;1;998.15;0.0;1
52;129;622;68.0313;1;9699.03;0.0;1
6;89;656;68.089430894309;1;173892.05;0.0;1
122;41;219;1.0669;1;3549.2;0.0;1
140;129;622;1;256.0136;9699.03;0.0;1
162;89;425;1;192.22;300000;0.0;1
145;129;622;1.051;1;9699.03;0.0;1
139;90;441;1;157650.4069;250070;0.0;1
82;172;544;953.979;1;78.84;0.0;1
104;139;271;803.49036212931;1;8.75;0.0;1
64;172;544;57668.5178;1;78.84;0.0;1
156;172;544;920.9246;1;78.84;0.0;1
140;172;544;3.3946;1;78.84;0.0;1
117;51;526;1.0126;1;609941.08;0.0;1
93;40;618;1;6363.7196;5684.65;0.0;1
104;88;271;1.05;1;579.62;0.0;1
64;108;79;65.621781968703;1;11765.93;0.0;1
53;145;622;66.9761;1;4179.89;0.0;1
141;163;519;1;1.1;318419.37;0.0;1
101;40;346;1.2121212121212;1;30000;0.0;1
71;160;633;1152.2507;1;998.15;0.0;1
140;89;425;1;264.83;300000;0.0;1
93;122;618;1;5386.2315;336.23;0.0;1
139;168;441;1;157650.4069;390575.8;0.0;1
110;129;441;1.4;1;81.01;0.0;1
6;53;622;1.0627;1;2547064.79;0.0;1
96;89;381;1;5.9201;91121.76;0.0;1
129;44;293;1.05263158;1;39.33;0.0;1
141;161;519;1;2.01769729;367188;0.0;1
53;122;622;74.4263;1;2282.92;0.0;1
105;121;271;1.0515;1;53316.02;0.0;1
53;117;622;1.0319;1;361024.21;0.0;1
110;103;441;1;310.6;250070;0.0;1
139;6;652;1;30449.7;340387.64;0.0;1
59;160;633;1152.2507;1;998.15;0.0;1
53;160;633;1172.1152;1;998.15;0.0;1
6;51;656;1.0741138571429;1;290086.3;0.0;1
110;64;656;1;53.55;240802.5;0.0;1
141;40;519;1;1.148994;2129.02;0.0;1
99;129;622;1;94.5323;9699.03;0.0;1
117;60;532;2.73976331;1;112856.91;0.0;1
104;49;271;1;57;13062.95;0.0;1
145;172;544;1043.2873;1;78.84;0.0;1
104;108;271;1;1.0001;12.62;0.0;1
105;41;271;80;1;454.17;0.0;1
114;93;369;2489924.3033079;1;7.56;0.0;1
49;20;205;2.25952957;1;10314.77;0.0;1
53;108;622;64.7181;1;8497.26;0.0;1
108;63;532;1;62.0002;2235.56;0.0;1
3;42;62;1;64.26484907;21000;0.0;1
139;63;659;1;32273.675509;17555888.78;0.0;1
99;42;555;1;5952.55229352;55339.41;0.0;1
110;111;441;1;310.6;250070;0.0;1
140;89;425;1;264.83;300000;0.0;1
108;115;473;1;300.20013;16700065;0.0;1
120;156;219;1;1.1492;65.13;0.0;1
