999;840;0.0244936335
643;980;2.42699
643;860;0.00809078
643;156;9.82325
643;398;0.186917
643;978;73.6871
860;398;23.42
980;840;26.475945
980;156;4.089743
980;51;0.05413838
980;643;0.41617
102;840;278.5903329154
974;980;0.076349
974;840;2.0076
974;978;2.3177
974;156;0.30886
974;643;0.031463
974;398;0.0058777
974;826;2.6326
978;840;0.8637070306
978;826;1.1379412367
978;643;0.0135828042
978;156;0.1334169413
643;986;16.9157
997;967;68.9174176368
997;840;0.0101096467
999;978;0.0282702439
156;978;7.5174
156;826;8.60015
156;643;0.1021
156;840;6.49855
398;51;0.71
398;980;12.98
398;860;0.0433
398;643;5.34
398;156;52.5
398;978;392.97
398;840;341.18
967;840;0.0001484219
967;978;0.0001716497
967;156;2.28378E-5
967;826;0.0001961704
967;643;2.3283E-6
998;840;0.1484219041
998;978;0.1716496562
998;156;0.0228378129
998;826;0.1961703622
998;643;0.0023282767
996;840;329.6728656155
860;840;7883.99
996;967;2272727.2727273
826;840;0.758955677
826;643;0.0119293306
826;978;0.8788118464
826;156;0.1172800413
398;826;447.12
643;840;63.7873
994;967;4081.6326530612
102;967;1883771.3101629
995;967;4761.9047619048
980;978;30.653849
992;840;0.0037804375
992;967;25.4388066961
993;840;0.0018697714
993;967;12.5806735693
51;840;482.2
51;826;632.02
51;978;555.4
51;156;74.52
51;398;1.414
51;643;7.55
51;980;18.32
51;860;0.061
999;860;3.0746E-6
643;51;0.132339
643;826;83.8229
860;826;10472.3
860;978;9150.95
860;156;1224.62
860;980;299.32
860;643;124.89
398;974;170.16
51;974;240.47
992;991;0.4573854021
991;967;55.4016313564
991;840;0.0082041185
990;840;0.0588499327
990;967;395.4132068011
999;974;0.0122044683
980;860;0.003273
999;980;0.0009226739
643;999;2604.24
860;974;3945.94
989;967;12542.330364982
989;840;1.8603023788
988;967;34.9289213914
988;993;2.7796392868
988;840;0.0052137643
988;991;0.6392456451
980;826;34.882279
978;764;0.0263247953
967;764;4.507E-6
998;764;0.0045069521
156;764;0.1974
398;764;10.35
764;840;32.90495
764;826;43.25115
764;978;38.0005
764;156;5.063925
764;643;0.5171
990;993;31.6011480065
986;967;35056.967572305
986;840;5.1747245753
987;993;0.6070191445
987;967;7.6437989681
987;840;0.0011274153
643;985;17.0413
980;764;0.806956
974;985;0.53431
985;967;189.2670444437
985;840;0.0279640875
985;993;15.0737755798
980;398;0.077624
995;840;0.6884681583
994;840;0.5947071067
986;993;2785.5153203343
980;974;13.20364
102;993;150375.93984962
981;967;1070.262749505
981;993;84.9978750531
981;840;0.1579990994
983;993;50.9567122729
983;967;641.2311638346
983;840;0.0947130691
984;967;177.4622892635
984;993;14.1143260409
984;840;0.0261369577
104;967;138504.15512465
104;993;10995.052226498
104;840;20.4227509446
103;967;211.9991520034
103;993;16.8382767708
103;840;0.0313283208
100;967;42265.426880812
100;993;3363.605785402
100;840;6.2316555639
101;967;29205.607476636
101;840;4.3281520016
982;840;0.8678295583
982;978;1.0022299617
982;967;5834.1355269683
982;993;463.9725328261
105;993;59.2894749324
105;967;746.784160708
105;840;0.1102900811
996;993;178571.42857143
997;993;5.4105723558
106;840;0.2740115972
106;967;1870.6973959892
106;993;150.3528782051
860;51;16.37
860;764;241.47
